iter	MAPE	RMSE	MAE
242	0.2863873409	14169.41842	11269.93779
243	0.2860519439	14153.64411	11259.10225
244	0.2855159036	14129.28301	11238.2665
245	0.285397874	14118.83019	11234.28894
246	0.2844016254	14082.56083	11203.21831
247	0.283723514	14054.58855	11184.15903
248	0.2833085677	14034.66758	11167.96572
249	0.282934131	14005.24746	11149.56286
250	0.2822345161	13978.38304	11129.25225
251	0.2817234928	13959.19405	11110.75232
252	0.2814516277	13944.14064	11098.03066
253	0.2813332178	13934.7753	11091.58703
254	0.2810959236	13920.60684	11081.45461
255	0.280775431	13904.17966	11068.1737
256	0.2805567919	13894.43995	11062.52728
257	0.2804083158	13883.73237	11052.88643
258	0.279762919	13850.10995	11024.9446
259	0.2791426209	13830.36455	11014.60637
260	0.2790575905	13823.45913	11010.74271
261	0.2784400735	13797.30477	10987.99519
262	0.2778154692	13774.25755	10970.87614
263	0.2773072447	13754.78771	10955.33441
264	0.2769780137	13737.39981	10946.04939
265	0.2764976376	13718.54074	10932.34984
266	0.2759306812	13697.93987	10914.88085
267	0.275484961	13683.53238	10901.331
268	0.2752830589	13676.74917	10897.02714
269	0.2749214445	13659.67833	10883.69536
270	0.2746415031	13642.64431	10869.98547
271	0.2744527803	13629.53508	10862.59906
272	0.2742827537	13619.14071	10854.78739
273	0.2739831347	13604.12616	10842.44227
274	0.273621427	13592.12425	10833.97405
275	0.2732631321	13577.08649	10822.68827
276	0.2727200223	13560.42209	10810.69594
277	0.2722567787	13537.24762	10794.60366
278	0.2721802729	13529.35497	10790.91015
279	0.2720015009	13521.2581	10784.28133
280	0.2718479569	13511.88017	10779.37564
281	0.2714144237	13492.79062	10763.1528
282	0.271147813	13480.26709	10752.19603
283	0.2709357007	13469.38336	10743.12239
284	0.2708741243	13463.84655	10740.44243
285	0.2706262401	13448.53888	10728.68506
286	0.2703830605	13432.49121	10716.23931
287	0.2702776495	13424.8386	10711.08092
288	0.2698505192	13399.00159	10693.63038
289	0.2696990142	13389.29753	10687.88342
290	0.2691874712	13365.17576	10670.08253
291	0.2686631227	13340.42549	10651.29149
292	0.2684604787	13324.35696	10641.18161
293	0.2683643723	13318.3217	10638.25283
294	0.2677695618	13295.67947	10616.90352
295	0.2674838023	13280.39746	10605.66939
296	0.2667835517	13255.23631	10582.45922
297	0.266496327	13246.37122	10575.69676
298	0.266433739	13241.32336	10572.74974
299	0.2663703825	13235.10064	10569.39461
300	0.2660597946	13222.90702	10561.3004
301	0.2655694923	13211.27752	10551.31221
302	0.2648305803	13185.32906	10532.08274
303	0.2645633463	13172.19823	10521.12922
304	0.2644996432	13167.32852	10518.32506
305	0.2644305749	13162.30309	10514.04522
306	0.2641512035	13144.70193	10500.38403
307	0.2638553952	13128.68332	10484.70584
308	0.2634021445	13113.62915	10473.99282
309	0.2625825383	13089.51216	10456.65102
310	0.2620273089	13070.41546	10442.54307
311	0.2618122843	13057.51557	10433.20809
312	0.2615080027	13046.27211	10424.18125
313	0.261435144	13036.76861	10419.78703
314	0.2612283319	13028.26376	10413.50476
315	0.2610213938	13016.30857	10401.05774
316	0.2604326595	12996.94899	10386.48434
317	0.2595535795	12972.4034	10364.40753
318	0.2589180122	12952.03548	10350.1322
319	0.2587530242	12941.95011	10343.01609
320	0.2584975372	12932.69139	10337.77246
321	0.258294794	12923.33439	10329.64093
322	0.2580351149	12905.87151	10315.98017
323	0.2576797664	12894.49131	10308.87203
324	0.257271171	12880.84656	10297.41548
325	0.2568833481	12859.93271	10278.98176
326	0.2567977325	12852.10434	10275.62621
327	0.2567273616	12845.46491	10271.12952
328	0.2565660491	12830.84807	10261.92575
329	0.2563485546	12818.79702	10252.26913
330	0.2560412345	12802.02897	10242.76758
331	0.255492929	12782.00839	10228.82064
332	0.2551611379	12766.1497	10215.22467
333	0.2547432599	12747.27405	10198.92372
334	0.254325753	12728.35674	10181.80511
335	0.2542644729	12724.62911	10179.48326
336	0.2540433347	12710.48556	10169.09533
337	0.2538759327	12703.8936	10162.7087
338	0.2535435469	12690.55774	10151.05843
339	0.2526779072	12669.42053	10135.28555
340	0.2524425118	12659.17543	10128.30279
341	0.2523145324	12650.67833	10123.90709
342	0.2522267794	12645.05383	10121.36113
343	0.2517890506	12629.91982	10109.80172
344	0.2515836922	12619.21049	10100.23103
345	0.2510323146	12604.81175	10086.92642
346	0.2508039512	12596.84623	10079.90199
347	0.2504528258	12577.64198	10064.26589
348	0.2502414764	12570.59868	10060.33794
349	0.249595226	12554.17111	10046.37024
350	0.2490014933	12538.07664	10034.57646
351	0.2485638663	12519.62668	10016.39546
352	0.2482315142	12505.34698	10004.71226
353	0.2481946851	12500.61788	10002.18779
354	0.2480549796	12492.35624	9996.314131
355	0.2478961932	12485.86448	9992.986431
356	0.247442879	12469.72274	9977.914601
357	0.2473934361	12464.94704	9975.533036
358	0.2465673521	12434.73244	9950.396669
359	0.2458292322	12415.11874	9932.047628
360	0.2455701606	12403.68819	9925.402209
361	0.2454387024	12395.68134	9920.654829
362	0.2447944487	12377.94114	9906.670278
363	0.2447309211	12372.78563	9903.886246
364	0.244292406	12350.99507	9886.439729
365	0.2438274828	12330.80958	9868.993074
366	0.2435546556	12315.64888	9856.542476
367	0.2433100254	12304.03042	9848.224744
368	0.2429953805	12292.11681	9837.712558
369	0.2428871734	12284.70264	9833.510621
370	0.2424005875	12274.53056	9823.710477
371	0.242107383	12257.82586	9809.271788
372	0.2416392383	12241.52775	9795.822059
373	0.2415439274	12233.21774	9790.782568
374	0.2414900005	12227.46809	9788.331767
375	0.2411626381	12216.80345	9780.824586
376	0.2410160997	12207.47261	9773.612652
377	0.2404689141	12179.47733	9749.018562
378	0.2402537916	12168.48727	9741.041816
379	0.2400750565	12159.4041	9733.962638
380	0.2399266752	12151.16712	9727.319001
381	0.239558013	12138.99502	9715.547913
382	0.2393597488	12129.05266	9706.156553
383	0.239071596	12112.15038	9695.306144
384	0.2389964512	12105.47078	9691.164064
385	0.2388941851	12096.02075	9686.184131
386	0.2384622109	12071.97568	9667.229072
387	0.2379897427	12053.45926	9649.48863
388	0.2376863798	12044.3199	9641.441155
389	0.2375468871	12035.9309	9637.347679
390	0.2370069861	12019.94864	9623.992252
391	0.2367088997	12003.49037	9610.875445
392	0.2365467813	11996.46565	9607.13604
393	0.236452247	11988.57672	9601.178045
394	0.2361053124	11975.91423	9587.994708
395	0.2357531845	11964.01075	9576.581612
396	0.2351103878	11946.24551	9560.135971
397	0.2349658656	11938.29683	9553.974897
398	0.2348239705	11927.8401	9546.947711
399	0.2346289137	11919.86778	9538.840745
400	0.2343059664	11909.36611	9529.615699
401	0.2337881233	11895.4206	9516.676261
402	0.2337515029	11890.61525	9514.136911
403	0.2336490981	11881.76608	9509.526596
404	0.2333628391	11867.09365	9500.115284
405	0.2331121733	11859.51013	9494.723715
406	0.2329508439	11847.921	9485.419622
407	0.2328590579	11840.23297	9481.648556
408	0.232604592	11830.81834	9474.476478
409	0.2324431666	11819.51314	9464.784975
410	0.2319600257	11802.5127	9450.740722
411	0.2313940487	11784.53796	9436.933807
412	0.2307912422	11766.10583	9422.587561
413	0.2304987656	11747.50611	9406.819033
414	0.2303652523	11739.10466	9400.449631
415	0.2303120082	11733.43837	9397.632226
416	0.2300818185	11723.56621	9388.669694
417	0.2298960307	11713.91207	9379.75074
418	0.2297620318	11708.53517	9376.150355
419	0.2296780272	11702.63742	9372.788997
420	0.2291726839	11682.21342	9355.546653
421	0.2290604248	11673.91636	9351.359383
422	0.2289541835	11665.29765	9346.36573
423	0.2287322558	11651.53835	9336.121451
424	0.2283331257	11632.55361	9318.533613
425	0.2274746827	11610.17852	9298.086766
426	0.2267755729	11595.06528	9285.642949
427	0.2266375244	11584.69622	9279.078856
428	0.2260585256	11567.23989	9266.948144
429	0.2257013938	11547.20623	9251.789042
430	0.2254145637	11528.44895	9235.001525
431	0.225030665	11521.26914	9227.715949
432	0.2249357532	11513.66108	9223.554607
433	0.2246342592	11502.19778	9211.858837
434	0.2243937763	11494.57257	9205.425772
435	0.2241569915	11484.33688	9199.202156
436	0.2240227309	11474.34128	9189.641042
437	0.2237322861	11462.77558	9180.234749
438	0.2235599507	11454.34868	9173.212949
439	0.2233067489	11444.922	9167.232158
440	0.2230467808	11429.4951	9154.421117
441	0.2230014883	11425.13697	9152.017983
442	0.2228590356	11417.30572	9146.672087
443	0.2219338178	11392.08904	9124.589636
444	0.2217380765	11381.98515	9116.315127
445	0.2215857548	11378.10445	9114.139171
446	0.2210477553	11353.35271	9095.887862
447	0.2209211691	11344.4102	9090.228942
448	0.2208048765	11337.51543	9084.47527
449	0.2206601085	11328.50002	9077.971604
450	0.2203743284	11315.99055	9064.999981
451	0.2202837938	11309.83682	9060.631599
452	0.2201747234	11300.37745	9055.19264
453	0.2198816312	11288.54095	9044.86298
454	0.2197248634	11279.66861	9038.775945
455	0.2196037708	11271.9775	9033.238001
456	0.2195305448	11265.19702	9029.168946
457	0.2193240318	11255.86399	9020.538734
458	0.2192081152	11248.88589	9014.891309
459	0.2191182031	11242.41604	9010.32253
460	0.2189016362	11232.3019	9003.343071
461	0.2188076991	11224.41549	8997.649965
462	0.2187066697	11217.45034	8993.476135
463	0.2182148835	11205.26457	8984.015611
464	0.2179219848	11194.83975	8974.999605
465	0.2174215605	11172.8903	8958.502291
466	0.2173604289	11168.17036	8955.700041
467	0.2167244819	11147.34278	8937.794891
468	0.2165723513	11137.75124	8930.824766
469	0.2164626201	11131.0145	8925.918386
470	0.2161117994	11117.79854	8913.918106
471	0.2157362389	11098.99416	8901.577406
472	0.2156272118	11091.51408	8896.109038
473	0.215361738	11081.99285	8885.898023
474	0.2151329831	11073.14653	8880.225221
475	0.215037739	11064.52694	8875.407541
476	0.214894619	11057.73266	8870.154362
477	0.2147041336	11048.78772	8863.384585
478	0.2145711009	11037.14219	8856.114454
479	0.2144326419	11030.56481	8851.109178
480	0.2143074214	11024.31356	8846.815421
481	0.214189879	11015.95758	8842.376993
482	0.2140114945	11002.78046	8833.451543
483	0.2139538816	10996.77219	8831.033435
484	0.2138467407	10989.28648	8826.190257
485	0.2137414693	10983.04044	8822.920237
486	0.2134925014	10976.01324	8817.758785
487	0.2134107786	10970.96571	8814.57544
488	0.2133142058	10962.66002	8809.920075
489	0.2129782799	10952.8787	8803.804898
490	0.2128185015	10943.93611	8797.915518
491	0.212735079	10936.32917	8794.544551
492	0.2123737203	10918.00776	8776.152861
493	0.2122743983	10911.24045	8771.405959
494	0.2119176967	10898.65152	8762.447661
495	0.2118617206	10893.10538	8759.351534
496	0.2117743086	10886.33748	8756.53081
497	0.2116789237	10879.34004	8752.507608
498	0.2114387304	10863.85872	8743.872698
499	0.2113353004	10855.89719	8737.954478
500	0.2110034057	10841.61729	8727.692303
501	0.2108893431	10833.1641	8723.630155
502	0.2102809303	10818.71789	8713.910642
503	0.2102358942	10813.18432	8711.502838
504	0.2101685734	10806.62131	8708.44208
505	0.2096342226	10792.81293	8696.647279
506	0.2095369392	10786.31233	8692.995017
507	0.2089289157	10770.08575	8676.713411
508	0.2087444719	10763.03867	8671.534553
509	0.2083478667	10745.21862	8657.75982
510	0.208232309	10733.77298	8650.824941
511	0.2080987509	10726.51271	8645.58698
512	0.2080346107	10719.82984	8641.251571
513	0.2079456819	10712.87211	8637.526667
514	0.2078451251	10704.82029	8632.730517
515	0.2076326389	10693.12967	8624.807576
516	0.2074234823	10686.57698	8621.002468
517	0.2069612513	10673.45533	8612.506417
518	0.2069053342	10668.37099	8610.156366
519	0.2066814159	10657.65594	8601.833598
520	0.2062417109	10638.05265	8588.848689
521	0.206050197	10626.17528	8579.551713
522	0.2055960392	10611.79251	8567.984436
523	0.2054761269	10604.80044	8563.24018
524	0.2051170961	10588.2737	8551.474389
525	0.2049957289	10580.74264	8545.278496
526	0.2048826807	10573.97418	8541.287956
527	0.2046065743	10554.52397	8527.088596
528	0.204499927	10547.88163	8522.476329
529	0.2041371815	10526.24949	8503.667781
530	0.2038885262	10515.49462	8495.435237
531	0.2036987535	10505.82039	8486.783165
532	0.2036036792	10497.96881	8480.189467
533	0.2035165246	10491.55528	8475.855267
534	0.2033814145	10484.5308	8470.998005
535	0.2033072526	10479.75474	8469.108959
536	0.2032347316	10473.54423	8465.910616
537	0.2027197672	10449.6505	8444.823984
538	0.2022568992	10424.57294	8419.441089
539	0.2021747078	10419.33142	8416.131038
540	0.2016066454	10394.40095	8392.198661
541	0.201262608	10375.10909	8380.381201
542	0.2012200013	10371.12348	8378.605817
543	0.2008126224	10360.76953	8372.243278
544	0.2006822293	10352.26463	8365.327935
545	0.2005822429	10346.34988	8361.374434
546	0.1998901974	10325.00521	8343.633708
547	0.1998187741	10320.68392	8341.53335
548	0.1991472995	10304.0392	8326.026006
549	0.1991004396	10300.58508	8324.439267
550	0.1989979419	10294.34025	8320.411927
551	0.1989437835	10290.08152	8318.094583
552	0.1988684564	10285.25455	8315.416056
553	0.1985845197	10271.8564	8305.041499
554	0.1985438784	10267.63874	8303.066538
555	0.1982128992	10255.36874	8292.459542
556	0.1981717653	10251.86	8290.941582
557	0.1980583168	10244.01299	8286.251506
558	0.1980332936	10240.5925	8284.688927
559	0.1979480277	10234.57952	8281.874095
560	0.1979219381	10230.56694	8280.46187
561	0.1978772188	10226.74208	8278.509879
562	0.1977925566	10221.17108	8275.244385
563	0.1973566658	10208.08232	8264.209265
564	0.1973049558	10203.84916	8262.161244
565	0.196876369	10178.98435	8241.202159
566	0.1964703437	10161.24215	8228.037008
567	0.196389854	10155.55085	8225.539571
568	0.1959715991	10144.86226	8216.360026
569	0.1959196421	10141.31628	8214.74903
570	0.1958244066	10132.13738	8209.15887
571	0.1957449465	10125.95149	8205.73297
572	0.1953311163	10109.39909	8194.036745
573	0.1952587023	10104.51531	8191.712098
574	0.1947656645	10084.08072	8172.915148
575	0.1944357997	10072.86745	8163.320659
576	0.1940575005	10054.19265	8146.67676
577	0.1939449716	10046.90015	8140.377324
578	0.1933418174	10030.01261	8125.400979
579	0.1932914828	10023.67964	8121.933826
580	0.1928693044	10013.40612	8113.488109
581	0.1924436083	9989.751401	8089.118672
582	0.1923259005	9982.631121	8083.421923
583	0.1921086143	9976.73432	8078.652112
584	0.1920641194	9972.915894	8076.919179
585	0.1920060726	9968.368206	8074.537457
586	0.1918789617	9961.440453	8069.362484
587	0.1918386645	9957.734907	8067.664057
588	0.1917885158	9953.977961	8065.791022
589	0.1914326426	9932.750375	8045.221389
590	0.1914015212	9929.246255	8043.649952
591	0.1913532195	9925.761061	8041.927433
592	0.1909488115	9904.272455	8019.747151
593	0.1909096589	9900.693502	8018.074083
594	0.1906943987	9893.761718	8012.605506
595	0.1906248341	9888.581315	8009.427696
596	0.1905717598	9884.787235	8007.593357
597	0.1905181271	9881.123676	8005.901477
598	0.1904560788	9877.000818	8003.871318
599	0.1899330057	9861.71296	7989.790553
600	0.1898802386	9857.656712	7987.844282
601	0.189817621	9853.140064	7985.601987
602	0.1897460446	9847.604708	7982.643897
603	0.1893457145	9831.74121	7967.439794
604	0.1893069851	9828.094175	7965.758822
605	0.1892464145	9824.010862	7963.76407
606	0.1892080709	9820.57921	7962.177685
607	0.1891700002	9817.169937	7960.597609
608	0.1890699279	9810.445636	7955.757364
609	0.1888132071	9794.466247	7942.746521
610	0.1887061485	9787.872034	7937.737995
611	0.1886139026	9781.706273	7934.123381
612	0.188396324	9774.182509	7927.832533
613	0.1881008354	9753.991824	7909.164084
614	0.1875280403	9734.718951	7892.508408
615	0.1874523644	9729.500586	7889.356955
616	0.1868646502	9712.94355	7873.149728
617	0.1868182252	9708.672219	7870.865067
618	0.1867802597	9705.147117	7869.222143
619	0.1867045783	9700.162913	7866.913151
620	0.1866601178	9696.314772	7864.941956
621	0.1862464606	9679.436642	7848.943519
622	0.1860182546	9671.33697	7842.880921
623	0.185567759	9654.144775	7829.023492
624	0.1854827877	9648.94887	7825.708851
625	0.1854429049	9645.566426	7824.115814
626	0.1853718674	9639.706539	7821.052991
627	0.1851332733	9630.792248	7813.966787
628	0.1846885158	9618.372904	7802.53613
629	0.1843457958	9606.793827	7791.496449
630	0.1839852867	9589.207369	7776.136136
631	0.1839366348	9585.857084	7774.521091
632	0.1836129254	9573.340204	7762.317588
633	0.1828321522	9552.70884	7742.306023
634	0.1826539312	9545.899319	7736.020363
635	0.1822572702	9532.004281	7724.779781
636	0.1821945078	9527.169325	7722.075685
637	0.1821569818	9523.719641	7720.479863
638	0.1819212081	9506.412343	7706.143264
639	0.1818722639	9503.254553	7704.668476
640	0.1815711342	9486.777402	7689.582499
641	0.1815218319	9483.558614	7688.093724
642	0.1814491427	9479.003292	7685.667365
643	0.1813436056	9473.43136	7682.184884
644	0.1807942363	9458.45616	7666.403231
645	0.1807482327	9455.243374	7664.909857
646	0.1802368649	9439.16205	7649.038499
647	0.1801109754	9432.959867	7643.613893
648	0.1800763885	9429.827395	7642.144488
649	0.1796013388	9415.935026	7629.22513
650	0.1795386992	9411.822897	7627.072959
651	0.17950517	9408.758238	7625.624091
652	0.1791220825	9388.069375	7604.887084
653	0.1790179166	9382.056122	7600.391283
654	0.1788078699	9365.464738	7588.175418
655	0.178735636	9360.796386	7586.043402
656	0.1786802633	9357.007975	7584.080715
657	0.1786011504	9351.299789	7580.110287
658	0.1784560746	9344.098129	7573.843542
659	0.1781900431	9336.443483	7566.370075
660	0.1779378529	9321.227039	7551.785006
661	0.1778903954	9318.109993	7550.32766
662	0.1775421542	9308.483795	7543.157396
663	0.1774575348	9302.846169	7538.941415
664	0.1773812612	9298.105342	7536.017254
665	0.1772211655	9287.838395	7526.965907
666	0.1766968036	9270.759106	7512.424314
667	0.1766599575	9267.728176	7511.073949
