iter	Passed	Remaining
153	392	12360
154	395	12351
155	397	12333
156	399	12317
157	401	12299
158	403	12283
159	405	12270
160	407	12255
161	409	12241
162	412	12226
163	414	12211
164	416	12195
165	418	12180
166	420	12168
167	422	12155
168	424	12141
169	426	12126
170	428	12112
171	431	12098
172	433	12084
173	435	12071
174	437	12057
175	439	12044
176	441	12032
177	443	12018
178	445	12006
179	447	11993
180	449	11980
181	452	11967
182	454	11955
183	456	11943
184	458	11939
185	460	11928
186	463	11918
187	465	11906
188	467	11892
189	469	11880
190	471	11869
191	473	11857
192	475	11845
193	477	11834
194	479	11822
195	481	11811
196	484	11801
197	486	11792
198	488	11781
199	490	11770
200	492	11760
201	494	11754
202	497	11745
203	499	11734
204	501	11732
205	503	11723
206	505	11714
207	508	11706
208	510	11695
209	512	11685
210	514	11674
211	516	11663
212	518	11661
213	521	11653
214	523	11643
215	525	11633
216	527	11623
217	529	11614
218	531	11604
219	533	11597
220	535	11588
221	538	11579
222	540	11570
223	542	11560
224	544	11551
225	546	11542
226	548	11539
227	551	11532
228	553	11524
229	555	11516
230	557	11507
231	559	11499
232	561	11490
233	563	11481
234	565	11473
235	568	11466
236	570	11458
237	572	11449
238	574	11440
239	576	11432
240	578	11423
241	580	11415
242	582	11408
243	584	11400
244	586	11391
245	589	11384
246	591	11376
247	593	11368
248	595	11361
249	597	11352
250	599	11345
251	601	11337
252	603	11330
253	605	11322
254	608	11314
255	610	11307
256	612	11302
257	614	11295
258	616	11286
259	618	11278
260	620	11271
261	622	11263
262	624	11256
263	627	11250
264	629	11244
265	631	11237
266	632	11214
267	634	11206
268	636	11198
269	638	11192
270	640	11185
271	643	11179
272	645	11172
273	647	11165
274	649	11158
275	651	11151
276	653	11144
277	655	11138
278	657	11131
279	659	11125
280	662	11119
281	664	11113
282	666	11107
283	668	11101
284	670	11094
285	672	11088
286	674	11082
287	676	11075
288	679	11068
289	681	11062
290	683	11055
291	685	11049
292	687	11043
293	689	11037
294	691	11031
295	693	11025
296	695	11018
297	697	11011
298	700	11009
299	702	11003
300	704	10998
301	706	10997
302	709	10991
303	711	10984
304	713	10978
305	715	10972
306	717	10966
307	719	10961
308	721	10956
309	723	10950
310	725	10944
311	728	10939
312	730	10933
313	732	10928
314	734	10922
315	736	10918
316	738	10913
317	740	10907
318	742	10901
319	744	10895
320	747	10889
321	749	10884
322	751	10880
323	753	10876
324	755	10870
325	757	10866
326	760	10861
327	762	10855
328	764	10850
329	766	10844
330	768	10840
331	770	10835
332	772	10829
333	774	10824
334	776	10819
335	779	10813
336	781	10808
337	783	10804
338	785	10799
339	787	10795
340	789	10790
341	791	10784
342	793	10779
343	796	10774
344	798	10768
345	800	10764
346	802	10759
347	804	10753
348	806	10748
349	808	10743
350	810	10738
351	812	10733
352	814	10728
353	817	10724
354	819	10718
355	821	10713
356	823	10708
357	825	10702
358	827	10698
359	829	10692
360	831	10689
361	833	10684
362	836	10679
363	838	10674
364	840	10668
365	842	10663
366	844	10658
367	846	10658
368	848	10653
369	850	10648
370	853	10643
371	855	10639
372	857	10634
373	859	10629
374	861	10626
375	863	10622
376	865	10617
377	867	10613
378	870	10608
379	872	10603
380	874	10598
381	876	10593
382	878	10589
383	880	10584
384	882	10580
385	884	10574
386	886	10570
387	888	10565
388	890	10560
389	893	10558
390	895	10554
391	897	10549
392	899	10544
393	901	10540
394	903	10535
395	905	10531
396	908	10528
397	910	10525
398	912	10520
399	914	10516
400	916	10511
401	918	10508
402	920	10505
403	923	10505
404	925	10503
405	927	10498
406	929	10494
407	932	10489
408	934	10485
409	936	10482
410	938	10478
411	940	10474
412	942	10470
413	944	10465
414	946	10461
415	949	10457
416	951	10453
417	953	10449
418	955	10446
419	957	10441
420	959	10437
421	961	10432
422	963	10428
423	965	10424
424	968	10421
425	970	10416
426	971	10403
427	973	10398
428	975	10394
429	977	10390
430	979	10386
431	981	10382
432	983	10377
433	985	10373
434	988	10370
435	990	10366
436	992	10362
437	994	10358
438	996	10354
439	998	10350
440	1000	10346
441	1002	10342
442	1005	10338
443	1007	10334
444	1009	10330
445	1011	10329
446	1014	10331
447	1017	10336
448	1020	10341
449	1023	10344
450	1025	10348
451	1028	10353
452	1031	10356
453	1034	10356
454	1037	10360
455	1039	10357
456	1041	10354
457	1043	10350
458	1045	10347
459	1048	10344
460	1050	10340
461	1052	10336
462	1054	10333
463	1056	10330
464	1058	10326
465	1060	10322
466	1063	10318
467	1065	10316
468	1067	10312
469	1069	10308
470	1071	10306
471	1074	10303
472	1076	10299
473	1078	10296
474	1080	10293
475	1082	10290
476	1084	10287
477	1087	10284
478	1089	10280
479	1091	10277
480	1093	10273
481	1095	10271
482	1098	10268
483	1100	10266
484	1102	10262
485	1104	10259
486	1106	10256
487	1108	10253
488	1111	10249
489	1113	10245
490	1115	10241
491	1117	10237
492	1119	10233
493	1121	10229
494	1123	10225
495	1125	10221
496	1127	10218
497	1129	10214
498	1131	10210
499	1134	10206
500	1136	10203
501	1138	10200
502	1140	10196
503	1142	10193
504	1144	10189
505	1146	10186
506	1149	10183
507	1151	10179
508	1153	10175
509	1155	10171
510	1157	10167
511	1159	10164
512	1161	10162
513	1163	10158
514	1166	10154
515	1168	10150
516	1170	10147
517	1172	10143
518	1174	10140
519	1176	10136
520	1178	10132
521	1180	10128
522	1182	10125
523	1184	10121
524	1187	10118
525	1189	10114
526	1191	10112
527	1193	10108
528	1195	10105
529	1197	10101
530	1199	10097
531	1201	10094
532	1203	10090
533	1206	10087
534	1208	10084
535	1210	10080
536	1212	10077
537	1214	10073
538	1216	10069
539	1218	10066
540	1221	10063
541	1223	10060
542	1225	10056
543	1227	10053
544	1229	10050
545	1231	10046
546	1233	10042
547	1235	10039
548	1237	10036
549	1240	10033
550	1242	10029
551	1244	10026
552	1246	10023
553	1248	10019
554	1250	10015
555	1252	10013
556	1254	10009
557	1256	10006
558	1259	10002
559	1261	9998
560	1263	9995
561	1265	9992
562	1267	9989
563	1269	9987
564	1271	9984
565	1274	9980
566	1276	9977
567	1278	9974
568	1280	9970
569	1282	9966
570	1284	9964
571	1286	9960
572	1288	9957
573	1290	9953
574	1292	9949
575	1295	9946
576	1297	9943
577	1299	9940
578	1301	9937
579	1303	9934
580	1305	9931
581	1307	9927
582	1309	9924
583	1312	9921
584	1314	9918
585	1316	9915
586	1318	9912
587	1320	9908
588	1322	9905
589	1324	9902
590	1326	9899
591	1329	9895
592	1331	9892
593	1333	9888
594	1335	9885
595	1337	9882
596	1339	9879
597	1341	9876
598	1343	9872
599	1345	9869
600	1348	9866
601	1350	9864
602	1352	9862
603	1354	9858
604	1356	9855
605	1358	9852
606	1360	9848
607	1363	9845
608	1365	9842
609	1367	9840
610	1369	9836
611	1371	9833
612	1373	9830
613	1375	9826
614	1377	9823
615	1379	9820
616	1382	9817
617	1384	9814
618	1386	9811
619	1388	9808
620	1390	9805
621	1392	9802
622	1394	9799
623	1399	9814
624	1401	9811
625	1403	9808
626	1405	9805
627	1408	9802
628	1410	9799
629	1412	9796
630	1414	9792
631	1416	9789
632	1418	9786
633	1420	9783
634	1422	9779
635	1424	9776
636	1426	9773
637	1429	9770
638	1431	9767
639	1433	9764
640	1435	9761
641	1437	9757
642	1439	9755
643	1441	9752
644	1443	9748
645	1445	9745
646	1448	9742
647	1450	9739
648	1452	9735
649	1454	9732
650	1456	9731
651	1458	9727
652	1460	9724
653	1462	9721
654	1464	9718
655	1467	9715
656	1469	9711
657	1471	9709
658	1473	9706
659	1475	9702
660	1477	9699
661	1479	9696
662	1481	9693
663	1484	9691
664	1486	9688
665	1488	9685
666	1490	9682
667	1492	9679
668	1494	9676
669	1496	9672
670	1498	9670
671	1500	9667
672	1503	9664
673	1505	9661
674	1507	9658
675	1509	9655
676	1511	9652
677	1513	9649
678	1515	9646
679	1518	9643
680	1520	9640
681	1522	9637
682	1524	9634
683	1526	9631
684	1528	9628
685	1530	9625
686	1532	9622
687	1534	9619
688	1536	9616
689	1539	9613
690	1541	9610
691	1543	9607
692	1545	9604
693	1547	9600
694	1549	9598
695	1551	9595
696	1553	9592
697	1555	9589
698	1558	9586
699	1560	9583
700	1562	9580
701	1564	9578
702	1566	9576
703	1568	9574
704	1571	9571
705	1573	9568
706	1575	9565
707	1577	9562
708	1579	9558
709	1581	9556
710	1583	9553
711	1585	9550
712	1587	9547
713	1589	9544
714	1592	9541
715	1594	9538
716	1596	9535
717	1598	9532
718	1600	9529
719	1602	9526
720	1604	9524
721	1606	9521
722	1609	9518
723	1611	9515
724	1613	9512
725	1615	9509
726	1617	9506
727	1619	9504
728	1621	9501
729	1623	9498
730	1625	9495
731	1628	9492
732	1630	9489
733	1632	9487
734	1634	9485
735	1636	9482
736	1639	9481
737	1641	9478
738	1643	9476
739	1645	9474
740	1647	9471
741	1649	9468
742	1652	9465
743	1654	9462
744	1656	9459
745	1658	9456
746	1660	9454
747	1662	9451
748	1664	9448
749	1666	9445
750	1668	9442
751	1671	9439
752	1673	9436
753	1675	9434
754	1677	9432
755	1679	9429
756	1681	9426
757	1683	9424
758	1686	9421
759	1688	9418
760	1690	9415
761	1692	9413
762	1694	9410
763	1696	9406
764	1698	9403
765	1700	9401
766	1702	9398
767	1705	9395
768	1707	9392
769	1709	9389
770	1711	9387
771	1713	9384
772	1715	9381
773	1717	9378
774	1719	9375
775	1722	9373
776	1724	9370
777	1726	9367
778	1728	9365
779	1730	9362
780	1732	9359
781	1734	9356
782	1736	9354
783	1738	9351
784	1741	9348
785	1743	9345
786	1745	9342
787	1747	9339
788	1749	9337
789	1751	9334
790	1753	9331
791	1755	9329
792	1757	9326
793	1760	9323
794	1762	9320
795	1764	9317
796	1766	9314
797	1768	9311
798	1770	9309
799	1772	9306
800	1774	9303
801	1776	9301
802	1779	9300
803	1781	9297
804	1783	9294
805	1785	9292
806	1787	9289
807	1790	9286
808	1792	9283
809	1794	9281
810	1796	9278
811	1798	9275
812	1800	9273
813	1802	9270
814	1804	9267
815	1806	9264
816	1808	9261
817	1810	9258
818	1813	9255
819	1815	9253
820	1817	9250
821	1819	9247
822	1821	9244
823	1823	9242
824	1825	9240
825	1828	9237
826	1830	9234
827	1832	9232
828	1834	9229
829	1836	9226
830	1838	9224
831	1840	9221
832	1842	9218
833	1844	9216
834	1847	9213
835	1849	9211
836	1851	9208
837	1853	9207
838	1856	9205
839	1858	9202
840	1860	9199
841	1862	9196
842	1864	9194
843	1866	9191
844	1868	9189
845	1871	9187
846	1873	9184
847	1875	9181
848	1877	9178
849	1879	9175
850	1881	9172
851	1883	9169
852	1885	9167
853	1887	9164
854	1889	9161
855	1891	9158
856	1894	9156
857	1896	9153
858	1898	9151
859	1900	9148
860	1902	9145
861	1904	9143
862	1906	9140
863	1908	9137
864	1910	9134
865	1913	9132
866	1915	9129
867	1917	9126
868	1919	9124
869	1921	9121
870	1923	9118
871	1925	9116
872	1927	9113
873	1929	9110
874	1932	9108
875	1934	9105
876	1936	9102
877	1938	9100
878	1940	9097
879	1942	9095
880	1944	9092
881	1946	9089
882	1948	9087
883	1951	9086
884	1954	9086
885	1957	9087
886	1960	9091
887	1963	9092
888	1966	9093
889	1969	9094
890	1972	9096
891	1975	9097
892	1977	9095
893	1979	9092
894	1981	9090
895	1984	9088
896	1986	9085
897	1988	9083
898	1990	9080
899	1992	9078
900	1994	9075
901	1997	9074
902	1999	9072
903	2001	9070
904	2004	9068
905	2006	9065
906	2008	9063
907	2010	9060
908	2012	9058
909	2014	9055
910	2017	9053
911	2019	9051
912	2021	9049
913	2023	9047
914	2025	9044
915	2028	9042
916	2030	9039
917	2032	9037
918	2034	9035
919	2036	9033
920	2039	9031
921	2041	9028
922	2043	9026
923	2045	9023
924	2047	9021
925	2049	9018
926	2052	9016
927	2054	9013
928	2056	9010
929	2058	9007
930	2060	9004
931	2062	9002
932	2064	8999
933	2066	8996
934	2068	8994
935	2070	8991
936	2072	8988
937	2075	8986
938	2077	8983
939	2079	8980
940	2081	8977
941	2083	8975
942	2085	8972
943	2087	8970
944	2089	8967
945	2091	8965
946	2094	8962
947	2096	8959
948	2098	8956
949	2100	8954
950	2102	8951
951	2104	8948
952	2106	8946
953	2108	8943
954	2110	8940
955	2113	8938
956	2115	8935
957	2117	8933
958	2119	8930
959	2121	8928
960	2123	8925
961	2125	8923
962	2127	8920
963	2130	8917
964	2132	8915
965	2134	8912
966	2136	8910
967	2138	8907
968	2140	8904
969	2142	8901
970	2144	8899
971	2146	8896
972	2148	8893
973	2151	8891
974	2153	8888
975	2155	8886
976	2157	8883
977	2159	8881
978	2161	8878
979	2163	8876
980	2166	8873
981	2168	8871
982	2170	8868
983	2172	8865
984	2174	8863
985	2176	8860
986	2178	8857
987	2180	8854
988	2182	8852
989	2184	8849
990	2186	8847
991	2189	8844
992	2191	8842
993	2193	8839
994	2195	8837
995	2197	8834
996	2199	8831
997	2201	8828
998	2203	8826
999	2205	8823
1000	2208	8822
1001	2210	8819
1002	2212	8817
1003	2214	8814
1004	2216	8812
1005	2218	8809
1006	2221	8807
1007	2223	8805
1008	2225	8802
1009	2227	8799
1010	2229	8797
1011	2231	8794
1012	2233	8791
1013	2235	8789
1014	2238	8787
1015	2240	8785
1016	2242	8782
1017	2244	8780
1018	2246	8777
1019	2248	8775
1020	2251	8772
1021	2253	8770
1022	2255	8767
1023	2257	8765
1024	2259	8762
1025	2261	8760
1026	2263	8757
1027	2269	8767
1028	2271	8764
1029	2273	8762
1030	2275	8760
1031	2277	8757
1032	2279	8755
1033	2281	8752
1034	2284	8749
1035	2286	8747
1036	2288	8744
1037	2290	8742
1038	2292	8739
1039	2294	8737
1040	2296	8734
1041	2298	8731
1042	2300	8729
1043	2302	8726
1044	2305	8723
1045	2307	8721
1046	2309	8718
1047	2311	8716
1048	2313	8713
1049	2315	8711
1050	2317	8708
1051	2319	8706
1052	2322	8703
1053	2324	8701
1054	2326	8698
1055	2328	8696
1056	2330	8693
1057	2332	8691
1058	2334	8688
1059	2336	8685
1060	2338	8683
1061	2341	8680
1062	2343	8678
1063	2345	8675
1064	2347	8673
1065	2349	8670
1066	2351	8668
1067	2353	8665
1068	2355	8663
1069	2358	8660
1070	2360	8658
1071	2362	8655
1072	2364	8653
1073	2366	8650
1074	2368	8648
1075	2370	8645
1076	2372	8642
1077	2374	8640
1078	2376	8637
1079	2379	8635
1080	2381	8632
1081	2383	8630
1082	2385	8628
1083	2387	8625
1084	2389	8623
1085	2391	8620
1086	2394	8618
1087	2396	8616
1088	2398	8613
1089	2400	8611
1090	2402	8608
1091	2404	8606
1092	2406	8603
1093	2408	8600
1094	2411	8598
1095	2413	8596
1096	2415	8593
1097	2417	8591
1098	2419	8588
1099	2421	8586
1100	2423	8583
1101	2426	8581
1102	2428	8579
1103	2430	8577
1104	2432	8574
1105	2434	8571
1106	2436	8569
1107	2438	8566
1108	2440	8564
1109	2443	8562
1110	2445	8559
1111	2447	8557
1112	2449	8554
1113	2451	8551
1114	2453	8549
1115	2455	8546
1116	2458	8544
1117	2460	8542
1118	2462	8539
1119	2464	8536
1120	2466	8534
1121	2468	8531
1122	2470	8529
1123	2472	8527
1124	2474	8524
1125	2477	8522
1126	2479	8519
1127	2481	8517
1128	2483	8514
1129	2485	8511
1130	2487	8509
1131	2489	8506
1132	2491	8504
1133	2493	8501
1134	2495	8499
1135	2498	8496
1136	2500	8494
1137	2502	8491
1138	2504	8489
1139	2506	8486
1140	2508	8484
1141	2510	8481
1142	2512	8479
1143	2514	8476
1144	2516	8474
1145	2519	8471
1146	2521	8469
1147	2523	8467
1148	2525	8464
1149	2527	8461
1150	2529	8459
1151	2531	8456
1152	2533	8454
1153	2535	8451
1154	2538	8449
1155	2540	8446
1156	2542	8444
1157	2544	8441
1158	2546	8438
1159	2548	8436
1160	2550	8433
1161	2552	8431
1162	2554	8429
1163	2556	8426
1164	2559	8424
1165	2561	8421
1166	2563	8419
1167	2565	8416
1168	2567	8414
1169	2569	8411
1170	2571	8409
1171	2573	8406
1172	2575	8404
1173	2578	8402
1174	2580	8399
1175	2582	8397
1176	2584	8395
1177	2586	8392
1178	2588	8390
1179	2590	8387
1180	2593	8385
1181	2595	8382
1182	2597	8380
1183	2599	8378
1184	2601	8375
1185	2603	8373
1186	2605	8370
1187	2607	8367
1188	2609	8365
1189	2612	8362
1190	2614	8361
1191	2616	8359
1192	2618	8356
1193	2620	8354
1194	2622	8351
1195	2624	8348
1196	2627	8346
1197	2629	8343
1198	2631	8341
1199	2633	8339
1200	2635	8336
1201	2637	8334
1202	2639	8332
1203	2642	8329
1204	2644	8327
1205	2646	8326
1206	2649	8324
1207	2651	8322
1208	2653	8320
1209	2655	8318
1210	2657	8316
1211	2660	8313
1212	2662	8312
1213	2664	8310
1214	2667	8309
1215	2669	8308
1216	2672	8306
1217	2674	8304
1218	2676	8302
1219	2679	8300
1220	2681	8299
1221	2684	8298
1222	2686	8296
1223	2688	8294
1224	2690	8292
1225	2693	8289
1226	2695	8287
1227	2697	8285
1228	2699	8283
1229	2702	8282
1230	2704	8281
1231	2707	8279
1232	2709	8277
1233	2711	8275
1234	2713	8273
1235	2715	8270
1236	2718	8268
1237	2720	8266
1238	2722	8264
1239	2724	8261
1240	2726	8259
1241	2728	8256
1242	2730	8254
1243	2733	8251
1244	2735	8249
1245	2737	8247
1246	2739	8244
1247	2741	8242
1248	2743	8239
1249	2745	8237
1250	2747	8234
1251	2749	8232
1252	2752	8230
1253	2754	8227
1254	2756	8225
1255	2758	8222
1256	2760	8220
1257	2762	8217
1258	2764	8215
1259	2767	8213
1260	2769	8211
1261	2771	8208
1262	2773	8206
1263	2775	8203
1264	2777	8201
1265	2779	8198
1266	2781	8196
1267	2784	8194
1268	2786	8191
1269	2788	8189
1270	2790	8186
1271	2792	8184
1272	2794	8182
1273	2797	8180
1274	2799	8178
1275	2801	8175
1276	2803	8173
1277	2805	8170
1278	2807	8168
1279	2809	8165
1280	2811	8163
1281	2814	8161
1282	2816	8158
1283	2818	8156
1284	2820	8153
1285	2822	8151
1286	2824	8148
1287	2826	8146
1288	2828	8143
1289	2830	8141
1290	2833	8139
1291	2835	8136
1292	2837	8134
1293	2839	8131
1294	2841	8129
1295	2843	8126
1296	2845	8124
1297	2847	8122
1298	2849	8119
1299	2852	8117
1300	2854	8115
1301	2856	8113
1302	2858	8110
1303	2860	8108
1304	2862	8106
1305	2865	8103
1306	2867	8101
1307	2869	8098
1308	2871	8096
1309	2873	8093
1310	2875	8091
1311	2877	8089
1312	2879	8086
1313	2881	8084
1314	2884	8083
1315	2886	8080
1316	2889	8080
1317	2892	8079
1318	2895	8081
1319	2898	8081
1320	2901	8081
1321	2904	8080
1322	2907	8081
1323	2910	8080
1324	2913	8079
1325	2915	8077
1326	2917	8075
1327	2919	8072
1328	2921	8070
1329	2923	8068
1330	2926	8066
1331	2928	8063
1332	2930	8061
1333	2932	8059
1334	2934	8056
1335	2936	8054
1336	2939	8052
1337	2941	8050
1338	2943	8047
1339	2945	8045
1340	2947	8043
1341	2950	8041
1342	2952	8038
1343	2954	8036
1344	2956	8034
1345	2958	8032
1346	2960	8030
1347	2963	8027
1348	2965	8025
1349	2967	8023
1350	2969	8020
1351	2972	8019
1352	2974	8017
1353	2976	8015
1354	2978	8013
1355	2980	8010
1356	2983	8008
1357	2985	8005
1358	2987	8003
1359	2989	8001
1360	2991	7998
1361	2993	7996
1362	2995	7993
1363	2997	7991
1364	2999	7988
1365	3001	7986
1366	3004	7983
1367	3006	7981
1368	3008	7978
1369	3010	7976
1370	3012	7973
1371	3014	7971
1372	3016	7969
1373	3018	7967
1374	3021	7964
1375	3023	7962
1376	3025	7959
1377	3027	7957
1378	3029	7954
1379	3031	7952
1380	3033	7950
1381	3035	7947
1382	3038	7945
1383	3040	7943
1384	3042	7940
1385	3044	7938
1386	3046	7935
1387	3048	7933
1388	3050	7931
1389	3052	7928
1390	3054	7926
1391	3057	7923
1392	3059	7921
1393	3061	7919
1394	3063	7916
1395	3065	7914
1396	3067	7911
1397	3069	7909
1398	3071	7907
1399	3074	7904
1400	3076	7902
1401	3078	7900
1402	3080	7897
1403	3082	7895
1404	3084	7893
1405	3086	7890
1406	3089	7888
1407	3091	7885
1408	3093	7883
1409	3095	7881
1410	3097	7878
1411	3099	7876
1412	3101	7873
1413	3103	7871
1414	3106	7869
1415	3108	7866
1416	3110	7864
1417	3112	7862
1418	3114	7859
1419	3116	7857
1420	3118	7854
1421	3120	7852
1422	3122	7850
1423	3125	7847
1424	3127	7845
1425	3129	7842
1426	3131	7840
1427	3133	7837
1428	3135	7835
1429	3137	7833
1430	3139	7831
1431	3142	7829
1432	3144	7826
1433	3146	7824
1434	3148	7822
1435	3153	7827
1436	3155	7825
1437	3158	7822
1438	3160	7820
1439	3162	7818
1440	3164	7815
1441	3166	7813
1442	3168	7810
1443	3170	7808
1444	3172	7806
1445	3175	7803
1446	3177	7801
1447	3179	7798
1448	3181	7796
1449	3183	7794
1450	3185	7791
1451	3187	7789
1452	3189	7786
1453	3191	7784
1454	3194	7782
1455	3196	7779
1456	3198	7777
1457	3200	7774
1458	3202	7772
1459	3204	7769
1460	3206	7767
1461	3208	7764
1462	3210	7762
1463	3213	7760
1464	3215	7758
1465	3217	7757
1466	3220	7755
1467	3222	7752
1468	3224	7750
1469	3226	7748
1470	3228	7746
1471	3231	7743
1472	3233	7741
1473	3235	7739
1474	3237	7737
1475	3239	7735
1476	3242	7733
1477	3244	7732
1478	3247	7730
1479	3249	7728
1480	3251	7726
1481	3253	7724
1482	3255	7721
1483	3258	7719
1484	3260	7717
1485	3262	7714
1486	3264	7712
1487	3266	7710
1488	3269	7708
1489	3271	7706
1490	3273	7703
1491	3275	7701
1492	3277	7698
1493	3279	7696
1494	3281	7694
1495	3284	7691
1496	3286	7689
1497	3288	7687
1498	3290	7684
1499	3292	7682
1500	3294	7680
1501	3296	7678
1502	3299	7675
1503	3301	7673
1504	3303	7671
1505	3305	7668
1506	3307	7666
1507	3309	7663
1508	3311	7661
1509	3313	7659
1510	3316	7656
1511	3318	7654
1512	3320	7652
1513	3322	7649
1514	3324	7647
1515	3326	7644
1516	3328	7642
1517	3330	7640
1518	3333	7638
1519	3335	7635
1520	3337	7633
1521	3339	7630
1522	3341	7628
1523	3344	7627
1524	3346	7625
1525	3348	7622
1526	3350	7620
1527	3352	7617
1528	3354	7615
1529	3356	7613
1530	3358	7610
1531	3360	7608
1532	3363	7605
1533	3365	7603
1534	3367	7601
1535	3369	7598
1536	3371	7596
1537	3373	7594
1538	3375	7591
1539	3377	7589
1540	3380	7587
1541	3382	7584
1542	3384	7582
1543	3386	7579
1544	3388	7577
1545	3390	7575
1546	3392	7572
1547	3394	7570
1548	3397	7568
1549	3399	7565
1550	3401	7563
1551	3403	7561
1552	3405	7558
1553	3407	7556
1554	3409	7553
1555	3411	7551
1556	3413	7549
1557	3416	7546
1558	3418	7544
1559	3420	7542
1560	3422	7539
1561	3424	7537
1562	3426	7534
1563	3428	7532
1564	3430	7530
1565	3432	7527
1566	3434	7525
1567	3437	7522
1568	3439	7520
1569	3441	7518
1570	3443	7515
1571	3445	7513
1572	3447	7510
1573	3449	7508
1574	3451	7506
1575	3453	7503
1576	3455	7501
1577	3458	7499
1578	3460	7496
1579	3462	7494
1580	3464	7491
1581	3466	7489
1582	3468	7487
1583	3470	7484
1584	3472	7482
1585	3474	7480
1586	3477	7477
1587	3479	7475
1588	3481	7473
1589	3483	7470
1590	3485	7468
1591	3487	7466
1592	3489	7463
1593	3491	7461
1594	3494	7458
1595	3496	7456
1596	3498	7454
1597	3500	7451
1598	3502	7449
1599	3504	7447
1600	3506	7444
1601	3509	7442
1602	3511	7440
1603	3513	7438
1604	3515	7436
1605	3517	7434
1606	3519	7431
1607	3521	7429
1608	3524	7427
1609	3526	7424
1610	3528	7422
1611	3530	7419
1612	3532	7417
1613	3534	7415
1614	3536	7413
1615	3538	7410
1616	3541	7408
1617	3543	7406
1618	3545	7403
1619	3547	7401
1620	3549	7399
1621	3551	7396
1622	3553	7394
1623	3555	7392
1624	3558	7389
1625	3560	7387
1626	3562	7384
1627	3564	7382
1628	3566	7380
1629	3568	7377
1630	3570	7375
1631	3572	7373
1632	3574	7370
1633	3576	7368
1634	3578	7365
1635	3580	7363
1636	3583	7361
1637	3585	7358
1638	3587	7356
1639	3589	7354
1640	3591	7351
1641	3593	7349
1642	3595	7347
1643	3597	7344
1644	3600	7342
1645	3602	7340
1646	3604	7337
1647	3606	7335
1648	3608	7332
1649	3610	7330
1650	3612	7328
1651	3614	7325
1652	3616	7323
1653	3619	7321
1654	3621	7318
1655	3623	7316
1656	3625	7314
1657	3627	7311
1658	3629	7309
1659	3631	7307
1660	3633	7304
1661	3635	7302
1662	3637	7300
1663	3640	7297
1664	3642	7295
1665	3644	7293
1666	3646	7290
1667	3648	7288
1668	3650	7286
1669	3652	7283
1670	3654	7281
1671	3657	7279
1672	3659	7276
1673	3661	7274
1674	3663	7272
1675	3665	7270
1676	3667	7267
1677	3669	7265
1678	3672	7263
1679	3674	7261
1680	3676	7258
1681	3678	7256
1682	3680	7254
1683	3682	7251
1684	3684	7249
1685	3687	7247
1686	3689	7244
1687	3691	7242
1688	3693	7240
1689	3695	7238
1690	3697	7235
1691	3699	7233
1692	3702	7231
1693	3704	7229
1694	3706	7227
1695	3708	7224
1696	3710	7222
1697	3712	7220
1698	3714	7217
1699	3717	7215
1700	3719	7213
1701	3721	7211
1702	3723	7209
1703	3726	7207
1704	3728	7204
1705	3730	7202
1706	3732	7200
1707	3734	7198
1708	3736	7196
1709	3739	7193
1710	3741	7191
1711	3743	7189
